1001 0 1 96.830096721 3.5 3.7142857143 5 3.2
1002 0 1 116.62479148 5.1666666667 6.1428571429 3.2 2.4
1003 1 1 92.504121958 3.3333333333 3.4285714286 4.4 2.2
1004 0 1 102.28902979 6.1666666667 5.5714285714 2 1.2
1005 1 1 81.860784518 6.1666666667 6.5714285714 3.2 3.4
1006 0 1 109.32232657 6.3333333333 5.7142857143 4.4 2.4
1007 0 1 96.774931885 3.3333333333 5.5714285714 3.4 1.6
1008 0 1 87.141464423 4.3333333333 4.2857142857 1.6 1
1009 0 1 82.959369663 5.6666666667 6.4285714286 3.8 1.8
1010 1 1 95.819913066 5.6666666667 4.8571428571 2.2 1.4
1011 1 1 82.17716454 5 3.8571428571 2 1.2
1012 0 1 93.197848706 5 3.8571428571 2.4 2
1013 1 1 90.059093854 5.1666666667 5.5714285714 1.2 1
1014 1 1 101.71191972 4.8333333333 5 1.6 1.2
1015 1 1 122.36997847 5.8333333333 5.1428571429 2.4 1.2
1016 0 1 80.825702275 4 3.4285714286 2.2 1.2
1018 1 1 108.03126965 4.3333333333 5.4285714286 2.4 1.6
1019 1 1 107.49838579 5.1666666667 6.4285714286 2.2 1.4
1020 0 1 105.63374994 5.1666666667 3.7142857143 3 1.8
1021 0 1 100.67055593 4 4.5714285714 3 3.6
1022 1 1 115.00347573 5 5.7142857143 3.2 2.4
1023 1 1 103.47118415 5 4.5714285714 2.8 1.4
1024 1 1 117.50775027 3.3333333333 5.7142857143 2.8 1.4
1025 0 1 103.47574444 3.5 6.1428571429 4 2.4
1026 0 1 118.23194377 6.3333333333 5.7142857143 2.4 1.2
1028 0 1 99.887150148 5.3333333333 4.7142857143 2.4 1
1029 0 1 117.05415534 6.6666666667 2.2857142857 1.8 1
1030 1 1 122.96875928 6 6.1428571429 2.6 1.8
1031 0 1 121.01055777 5.5 5.7142857143 1.6 1
1032 1 1 115.71549049 4.8333333333 5.5714285714 1.6 1.4
1033 0 1 103.43772349 5.8333333333 5 3.6 2
1034 1 1 111.07035491 4.8333333333 5.1428571429 3.2 1.8
1035 0 1 123.45493754 5.1666666667 5.2857142857 1.6 1.4
1036 0 1 114.3158599 5.5 4 3.8 3.2
