"","ds.ID","ds.agreementfinal","ds.share_type","ds.Q1a","ds.Q1b_1","ds.Q1b_2","ds.Q1b_3","ds.Q1b_4","ds.Q1b_5","ds.Q1b_6","ds.Q1b_7","ds.Q1c","ds.Q1d","ds.Q1e_1","ds.Q1e_2","ds.Q1e_3","ds.Q1f","ds.Q1g_1","ds.Q1g_2","ds.Q1g_3","ds.Q1g_4","ds.Q1g_5","ds.Q1g_6","ds.Q1g_7","ds.Q1g_8","ds.Q1h","ds.Q1i","ds.Q5a","ds.Q5b","ds.Q5c","ds.Q5d_1","ds.Q5d_2","ds.Q5d_3","ds.Q5d_4","ds.Q5d_5","ds.Q5d_6","ds.Q5d_7","ds.Q5d_8","ds.Q5d_9","ds.Q5d_10","ds.Q5d_11","ds.Q5d_12"
"128",191,0,1,6,NA,NA,NA,NA,NA,1,NA,1,7,1,1,3,2,1,1,NA,NA,NA,NA,NA,NA,2,2,4,1,1,1,NA,1,2,6,1,1,1,1,1,2,1
"129",192,0,2,1,NA,NA,NA,NA,NA,1,NA,1,5,1,1,3,2,1,1,NA,1,NA,NA,1,NA,1,2,2,2,3,5,5,3,2,4,2,2,2,2,1,5,2
"130",193,1,1,1,NA,NA,NA,NA,NA,1,NA,6,8,2,1,3,1,1,1,1,1,NA,NA,1,NA,2,1,3,1,3,5,6,5,5,5,5,4,4,4,4,3,6
"131",194,0,2,6,NA,NA,NA,1,NA,1,NA,1,3,1,3,2,2,NA,1,NA,NA,NA,NA,NA,1,2,2,5,5,2,6,6,2,6,6,4,4,6,1,2,2,1
"132",195,1,2,5,NA,1,1,NA,NA,1,NA,1,20,3,3,3,1,1,1,1,1,NA,NA,NA,NA,1,2,2,2,1,5,4,4,1,1,4,3,2,2,2,4,4
"133",196,1,3,1,NA,NA,NA,NA,NA,1,NA,1,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,4,4,4,1,2,6,3,3,2,6,4,6
"134",197,1,1,1,NA,NA,NA,NA,NA,1,NA,1,3,1,1,2,1,NA,1,NA,NA,1,NA,1,NA,2,2,4,1,2,6,5,5,3,5,3,4,4,1,1,4,4
"135",198,0,1,1,NA,NA,NA,1,NA,1,NA,1,10,1,1,2,1,1,1,NA,1,NA,NA,1,NA,1,2,2,1,2,5,5,2,6,6,4,2,5,4,2,6,6
"136",199,0,1,1,NA,NA,NA,NA,NA,1,NA,1,7,1,1,3,1,1,1,1,1,NA,NA,1,NA,2,2,2,1,2,4,6,2,6,5,6,3,6,4,2,3,3
"137",200,1,1,6,NA,NA,NA,NA,NA,1,NA,1,5,1,1,3,2,NA,NA,NA,NA,1,NA,NA,NA,2,2,2,1,2,4,6,4,5,5,6,1,5,1,2,4,6
"138",201,0,2,6,NA,NA,NA,NA,NA,1,NA,1,18,1,1,3,2,1,1,NA,NA,NA,NA,1,NA,1,2,5,2,3,6,5,3,3,6,1,5,4,1,1,2,1
"139",202,1,2,6,NA,NA,NA,NA,NA,1,1,1,4,1,1,2,2,NA,1,NA,NA,1,NA,NA,1,2,2,3,4,1,6,1,5,1,1,5,4,1,2,1,2,4
"140",203,1,2,2,1,NA,NA,NA,NA,NA,1,1,40,3,3,2,1,1,1,1,1,1,NA,1,NA,1,2,2,2,1,6,2,4,3,4,4,4,3,3,2,4,3
"141",205,1,2,1,NA,NA,NA,1,NA,1,NA,1,13,2,1,3,1,1,1,1,1,1,NA,1,NA,2,2,2,2,1,6,4,5,1,1,2,5,1,1,1,4,4
"142",206,1,2,2,NA,NA,NA,NA,NA,NA,1,1,8,1,2,3,1,1,1,1,1,1,1,1,NA,1,2,2,2,1,6,2,5,1,4,2,5,1,4,2,5,2
"143",207,0,3,1,NA,NA,NA,NA,NA,1,NA,1,15,1,1,3,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,1,3,4,5,2,3,1,3,2,4,3,4,4,5
"144",208,0,2,1,NA,NA,NA,NA,NA,NA,1,6,NA,1,2,1,2,NA,NA,NA,1,NA,NA,1,1,2,2,1,3,3,4,4,3,5,4,4,3,5,4,4,5,3
"145",209,1,3,1,NA,NA,NA,NA,NA,1,NA,6,3,1,1,3,1,1,1,NA,1,NA,NA,1,1,2,2,1,1,3,5,3,5,5,1,1,4,6,1,1,5,5
"146",210,0,2,1,NA,NA,NA,1,NA,1,NA,1,10,1,1,2,2,NA,1,NA,1,NA,1,1,NA,1,2,2,3,3,6,5,2,1,5,2,2,1,1,1,4,2
"147",211,1,2,2,NA,NA,NA,NA,NA,NA,1,1,12,2,1,3,1,1,1,1,1,NA,NA,1,NA,1,2,2,2,1,6,2,4,2,2,2,4,1,2,1,1,3
"148",212,0,2,6,NA,NA,NA,NA,NA,NA,1,1,4,1,1,2,2,NA,1,NA,1,NA,NA,NA,NA,2,2,2,2,1,6,5,3,1,2,4,5,1,1,1,1,2
"149",213,0,1,1,NA,NA,NA,NA,NA,1,NA,1,20,1,1,3,1,1,1,NA,1,NA,1,NA,NA,1,2,3,1,3,5,5,2,3,6,1,3,6,2,1,4,5
"150",214,0,1,2,NA,NA,1,NA,NA,NA,NA,1,20,1,1,3,2,NA,1,NA,NA,NA,NA,1,NA,2,2,3,1,2,4,4,3,3,5,3,3,4,2,2,3,3
"151",215,1,1,1,NA,NA,NA,NA,NA,1,NA,1,7,1,1,3,1,NA,1,NA,NA,NA,NA,NA,NA,1,2,4,1,1,4,3,4,3,4,3,3,4,2,2,4,2
"152",216,0,3,1,NA,NA,NA,NA,NA,1,NA,6,10,1,1,3,2,NA,1,NA,NA,NA,NA,1,NA,2,2,1,1,3,6,6,3,4,4,3,2,2,2,3,6,3
"153",217,1,1,6,NA,NA,NA,1,NA,1,NA,1,1,1,1,2,2,NA,NA,NA,NA,1,NA,1,1,2,2,2,1,3,4,5,5,5,5,3,3,3,1,1,2,4
"154",219,1,2,1,1,NA,NA,NA,NA,1,NA,3,14,3,2,3,1,1,1,1,1,1,NA,1,NA,1,2,3,2,1,6,5,6,1,1,2,6,2,4,4,6,5
"155",220,1,2,2,NA,NA,NA,1,NA,1,NA,1,5,1,1,3,2,NA,1,NA,NA,NA,NA,1,NA,2,2,1,2,1,6,4,4,2,2,2,2,4,3,2,5,4
"156",221,1,3,5,NA,NA,1,NA,NA,NA,1,1,3,1,1,1,2,1,1,NA,1,NA,1,1,NA,2,2,1,1,1,6,3,5,6,4,2,4,6,3,2,4,4
"157",223,1,2,1,NA,NA,NA,NA,NA,1,NA,1,3,1,1,2,2,1,1,NA,NA,NA,NA,1,NA,2,2,4,5,1,6,2,6,1,2,2,6,1,1,1,2,2
"158",224,0,1,1,NA,NA,NA,1,NA,1,1,1,3,1,1,2,2,1,1,NA,NA,NA,NA,NA,1,2,2,2,1,2,5,6,3,3,5,4,4,3,3,3,3,6
"159",226,1,2,2,NA,NA,NA,NA,NA,NA,1,1,4,3,2,2,1,1,NA,1,NA,1,1,1,NA,1,2,3,2,1,5,2,4,3,1,3,4,3,2,2,4,2
"160",227,1,1,2,NA,NA,NA,NA,1,NA,NA,1,19,3,3,1,1,1,1,1,1,NA,NA,1,NA,1,2,2,1,1,5,1,4,2,1,1,3,4,2,1,2,4
"161",228,0,2,1,NA,NA,NA,1,NA,NA,NA,1,10,3,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,2,1,6,1,1,1,1,1,5,1,1,1,4,2
"162",229,1,2,1,NA,1,NA,1,NA,1,NA,3,25,3,3,3,1,1,1,1,1,1,NA,1,NA,1,2,2,2,1,6,3,4,1,1,1,4,1,1,1,4,3
"163",230,1,1,2,NA,NA,NA,NA,NA,NA,1,1,25,2,3,3,1,1,1,1,1,NA,NA,NA,NA,1,2,2,1,1,6,2,4,4,2,2,4,4,3,1,6,4
"164",231,1,2,1,1,NA,NA,NA,NA,NA,NA,1,3,3,2,1,1,1,1,1,1,1,NA,1,NA,1,2,3,3,1,6,3,6,4,2,2,5,2,2,4,2,2
"165",232,1,2,1,NA,NA,NA,NA,1,NA,1,1,17,3,2,1,1,1,1,1,1,NA,NA,NA,NA,1,2,2,2,1,5,3,4,3,1,1,4,3,3,2,4,4
"166",233,1,2,1,1,NA,NA,NA,NA,NA,NA,1,20,3,3,1,1,NA,1,1,1,1,NA,1,NA,2,2,2,2,1,6,2,5,2,1,3,3,1,2,1,5,4
"167",234,1,1,1,1,NA,NA,NA,1,1,NA,3,30,3,3,1,1,1,1,1,1,NA,NA,NA,NA,1,2,2,1,2,6,3,4,4,2,2,2,2,2,2,2,2
"168",235,1,1,2,1,NA,NA,NA,NA,NA,NA,1,15,3,2,2,1,1,1,1,1,1,NA,1,NA,2,2,2,1,1,6,4,6,4,1,2,4,2,4,2,5,4
"169",236,0,2,1,NA,NA,NA,NA,NA,NA,1,1,10,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,1,1,2,1,6,1,3,1,1,1,4,1,1,1,1,1
"170",242,1,1,6,NA,NA,NA,1,NA,1,NA,1,3,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3,6,5,6,6,5,1,6,6,1,1,2,4
"171",244,1,1,1,NA,NA,NA,1,NA,NA,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,1,5,1,1,5,5,4,5,3,3,5,5,1,2,3,3
"172",245,1,3,1,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,1,2,5,5,5,6,4,3,4,6,3,4,3,3
"173",246,0,1,1,NA,NA,NA,1,NA,NA,NA,1,7,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,2,1,2,5,3,3,3,3,4,3,2,1,3,1,4
"174",247,1,3,1,NA,NA,NA,NA,NA,1,1,1,9,1,1,3,1,NA,1,NA,1,NA,NA,1,NA,2,1,1,1,2,6,4,5,5,6,5,6,6,2,1,4,3
"175",248,1,2,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,1,6,6,6,1,1,1,4,2,1,1,1,2
"176",250,1,1,1,NA,NA,NA,NA,NA,NA,1,1,17,1,1,1,1,1,1,1,NA,1,NA,NA,NA,2,1,2,1,2,5,3,5,6,1,1,4,6,1,1,4,4
"177",251,0,2,1,NA,NA,NA,NA,NA,1,1,1,6,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,2,1,2,2,2,4,5,3,2,1,1,1,1,1,1,5,3
"178",252,1,1,1,NA,NA,NA,NA,NA,NA,1,6,NA,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,1,3,5,2,6,3,2,2,4,4,2,4,4,4
